LIB,6/23/2015,2.96,3.04,2.87,2.9,383000,0,
TEL,6/23/2015,2800,2870,2796,2810,162110,60950160,
DFNN,6/23/2015,6.66,6.66,6.25,6.5,29900,0,
IS,6/23/2015,0.224,0.224,0.2,0.214,1860000,0,
ISM,6/23/2015,1.31,1.31,1.3,1.3,65000,0,
JAS,6/23/2015,2.2,2.2,2.2,2.2,4000,0,
NOW,6/23/2015,0.45,0.5,0.45,0.5,141000,17500,
TBGI,6/23/2015,1.7,1.89,1.7,1.89,36000,0,
WEB,6/23/2015,19,19,18,19,32800,0,
YEHEY,6/23/2015,1.5,1.52,1.48,1.5,62000,0,
2GO,6/23/2015,6.38,6.38,6.18,6.27,73700,0,
ATI,6/23/2015,13.2,13.3,12.8,13.2,337600,-30960,
CEB,6/23/2015,86.5,86.5,84.9,85.2,328380,10004464.5,
ICT,6/23/2015,112,112,110,110,213220,-15084241,
MAC,6/23/2015,2.1,2.1,2.1,2.1,30000,0,
PAL,6/23/2015,4.78,4.78,4.5,4.5,12000,0,
TUGS,6/23/2015,1.37,1.39,1.27,1.36,262000,0,
ACE,6/23/2015,1.2,1.22,1.13,1.13,1505000,0,
BHI,6/23/2015,0.093,0.093,0.092,0.092,260000,0,
DWC,6/23/2015,1.68,1.68,1.68,1.68,100000,0,
GPH,6/23/2015,19,20,17.02,17.02,5700,0,
WPI,6/23/2015,0.335,0.335,0.335,0.335,10000,0,
CEU,6/23/2015,10,10,9.51,9.51,7600,0,
STI,6/23/2015,0.65,0.66,0.64,0.66,728000,-358650,
BLOOM,6/23/2015,9.39,9.39,8.96,9.01,12514400,13652778,
EG,6/23/2015,0.011,0.011,0.011,0.011,19300000,0,
LR,6/23/2015,9.2,9.4,9.19,9.4,57000,203485,
MCP,6/23/2015,6.6,6.6,6,6.01,11298700,-33436908,
MJC,6/23/2015,1.98,2,1.98,2,425000,0,
PLC,6/23/2015,1.27,1.27,1.2,1.2,76873000,23771730,
RWM,6/23/2015,5.32,5.33,5.25,5.32,1804400,-2544420,
CAL,6/23/2015,4,4.04,3.9,3.95,1382000,-28250,
PGOLD,6/23/2015,38,38.4,36.9,37.1,2707300,-26138740,
RRHI,6/23/2015,76,76,73.8,73.85,1762520,-94102664.5,
SEVN,6/23/2015,123.5,124,123.5,124,2700,66690,
SSI,6/23/2015,9.89,10,9.65,9.78,2688300,-2866736,
APC,6/23/2015,0.64,0.65,0.64,0.64,1198000,0,
PHA,6/23/2015,0.68,0.71,0.67,0.67,2872000,0,
^MINING-OIL,6/23/2015,13688.22,13729.33,13619.99,13640.49,77197,-18453,
AB,6/23/2015,13.48,13.48,13.48,13.48,800,0,
APX,6/23/2015,2.6,2.6,2.6,2.6,4000,0,
AR,6/23/2015,0.005,0.0052,0.005,0.0052,4000000,0,
AT,6/23/2015,6.71,6.71,6.47,6.48,478500,-837012,
COAL,6/23/2015,0.78,0.79,0.78,0.78,185000,0,
CPM,6/23/2015,0.93,0.95,0.93,0.93,14000,0,
DIZ,6/23/2015,6.9,7,6.58,6.9,22200,0,
FNI,6/23/2015,1.68,1.71,1.65,1.69,9795000,657790,
GEO,6/23/2015,0.315,0.325,0.315,0.32,40000,0,
LC,6/23/2015,0.229,0.23,0.229,0.229,1300000,0,
LCB,6/23/2015,0.234,0.234,0.231,0.234,740000,0,
MA,6/23/2015,0.014,0.014,0.013,0.013,191200000,0,
MAB,6/23/2015,0.014,0.014,0.014,0.014,133700000,0,
MARC,6/23/2015,3.4,3.45,3.35,3.37,280000,-197250,
NI,6/23/2015,3.75,3.75,3.72,3.73,361000,-429100,
NIKL,6/23/2015,23.7,23.7,23.25,23.5,476900,-835415,
OM,6/23/2015,0.65,0.65,0.65,0.65,310000,0,
ORE,6/23/2015,2.05,2.05,2.02,2.02,60000,8080,
PX,6/23/2015,6.2,6.35,6.12,6.16,563400,-2001670,
SCC,6/23/2015,142,142.4,142,142.1,218400,-14852511,
OPM,6/23/2015,0.011,0.012,0.011,0.012,1300000,0,
OV,6/23/2015,0.014,0.015,0.014,0.015,12600000,0,
PERC,6/23/2015,4.4,4.4,4.3,4.3,19000,4400,
PXP,6/23/2015,2,2,1.96,1.96,1304000,7760,
TAPET,6/23/2015,10.82,11.38,10.8,10.8,95100,21600,
^PSEi,6/23/2015,7617.44,7637.3,7551.56,7551.56,6064148,-798501,
^ALLSHARES,6/23/2015,4365,4373.42,4332.7,4332.7,0,0,
DD,6/23/2015,10.54,10.88,10.34,10.5,3082600,2949976,
RPL,6/23/2015,58.1,67,58.1,66.5,120,0,
X,6/23/2015,11,11.1,10.9,11.06,690500,3075316,
FMETF,6/23/2015,124.4,124.4,123.7,123.8,68210,0,
ACPB1,6/23/2015,525,525,523,523,1300,0,
ACPB2,6/23/2015,529,529,529,529,6000,0,
GLOPP,6/23/2015,530,530,530,530,3300,0,
LRP,6/23/2015,1.11,1.14,1.11,1.14,8000,0,
MWP,6/23/2015,111,111,110,110.5,47280,0,
PFP2,6/23/2015,1052,1054,1052,1054,5190,0,
PRF2A,6/23/2015,1056,1056,1056,1056,5,0,
SMC2A,6/23/2015,75.4,75.55,75.25,75.55,224780,-12436691,
SMC2B,6/23/2015,84,85.3,84,85.3,38500,0,
SMC2C,6/23/2015,89,89,88.5,89,19240,0,
ABSP,6/23/2015,62.9,63,62.5,62.95,170610,-4482894,
GMAP,6/23/2015,6.96,6.96,6.5,6.5,1000,-3250,
LRW,6/23/2015,3.92,3.92,3.92,3.92,1000,0,
